taxonID,description,type
alien-birds-checklist:taxon:0032278eb7f0abc78bb0a702251a9110,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:021de20449c75c407915c14b84ee74c4,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:04842fa09488a08b6c3b751386c16ad8,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:04842fa09488a08b6c3b751386c16ad8,Southern Asia,native range
alien-birds-checklist:taxon:04842fa09488a08b6c3b751386c16ad8,Southeastern Asia,native range
alien-birds-checklist:taxon:04d6ae25194dee7b718f71feb004472a,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:04d6ae25194dee7b718f71feb004472a,Southern Asia,native range
alien-birds-checklist:taxon:0922e3f075c16ff8bfab7462c899eb41,Southeastern Asia,native range
alien-birds-checklist:taxon:0922e3f075c16ff8bfab7462c899eb41,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:0922e3f075c16ff8bfab7462c899eb41,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:0922e3f075c16ff8bfab7462c899eb41,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:09d7c819a4846d791d996e14c9ced8a2,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:0b12442f92da55afb0a6d6f2cb387164,Southern Asia,native range
alien-birds-checklist:taxon:10cba03fc54e56a209be2001915d9f4b,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:15c8a4b81399bde6edb80e8fd3358b41,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:15c8a4b81399bde6edb80e8fd3358b41,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:15c8a4b81399bde6edb80e8fd3358b41,captive (blackburn_2011:B1),degree of establishment
alien-birds-checklist:taxon:18042eb220b3fc12f99cdb63a97524c1,Southeastern Asia,native range
alien-birds-checklist:taxon:18042eb220b3fc12f99cdb63a97524c1,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:18042eb220b3fc12f99cdb63a97524c1,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:1d46108aa7192fb6903650b624fcdea2,Madagascar (WGSRPD:MDG),native range
alien-birds-checklist:taxon:1d46108aa7192fb6903650b624fcdea2,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:1d46108aa7192fb6903650b624fcdea2,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:1da36e5521dd75567ffe8c9387b5d0ee,Western Africa,native range
alien-birds-checklist:taxon:1da36e5521dd75567ffe8c9387b5d0ee,Middle Africa,native range
alien-birds-checklist:taxon:1da36e5521dd75567ffe8c9387b5d0ee,Eastern Africa,native range
alien-birds-checklist:taxon:1da36e5521dd75567ffe8c9387b5d0ee,Southern Africa (WGSRPD:27),native range
alien-birds-checklist:taxon:1e91c263e764898c649ebeb227e27765,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:1fc8e23521d1699356146ebf73633387,Southern Asia,native range
alien-birds-checklist:taxon:1fc8e23521d1699356146ebf73633387,Southeastern Asia,native range
alien-birds-checklist:taxon:1fc8e23521d1699356146ebf73633387,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:1fc8e23521d1699356146ebf73633387,colonizing (blackburn_2011:D1),degree of establishment
alien-birds-checklist:taxon:219382acd900a50db84d4d0a14e75604,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:22a9f13e840ef0634fc3337938848a87,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:256ae822fbda2f5bb0314844c2371d15,Southern Asia,native range
alien-birds-checklist:taxon:256ae822fbda2f5bb0314844c2371d15,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:256ae822fbda2f5bb0314844c2371d15,Southeastern Asia,native range
alien-birds-checklist:taxon:256ae822fbda2f5bb0314844c2371d15,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:256ae822fbda2f5bb0314844c2371d15,released (blackburn_2011:B3),degree of establishment
