taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,eventDate,source,occurrenceRemarks
alien-birds-checklist:taxon:6ef305724bf67b37c9fd9ac71f383132,ISO_3166-2:BE,Belgium,BE,present,introduced,1997/2017,,"15 occurrences in GBIF, 1997, http://waarnemingen.be ; occurrences in 1997 and 2017 on http://observations.be; VU in IUCN red list"
alien-birds-checklist:taxon:3f5d388b1d6e0bb2e4d1352450e494bf,ISO_3166-2:BE,Belgium,BE,present,introduced,,,
alien-birds-checklist:taxon:21e4e021fa4e01bed8e1e723fdd42f53,ISO_3166-2:BE,Belgium,BE,present,introduced,,,
alien-birds-checklist:taxon:cd6c3707338fb24c14fdf508245ea744,ISO_3166-2:BE,Belgium,BE,present,introduced,2013/2016,,"15 occurrences in GBIF, one in 2013, the rest in 2015 and 2016; http://waarnemingen.be"
alien-birds-checklist:taxon:8fb68655bc22002ae5507a3c1a637421,ISO_3166-2:BE,Belgium,BE,present,introduced,2009,,"1 occurrence in GBIF, 2009; http://waarnemingen.be ; VU in IUCN red list"
alien-birds-checklist:taxon:735ec6110517c880ed39e5bf6ad92949,ISO_3166-2:BE,Belgium,BE,present,introduced,2009/2018,,"occurrences in 2009 and 2018, http://observations.be"
alien-birds-checklist:taxon:8d75480400395815f8c9175785f15808,ISO_3166-2:BE,Belgium,BE,present,introduced,2017,,"occurrences in 2017, https://http://observations.be"
alien-birds-checklist:taxon:4d8682be5667247c5fea795c1595b533,ISO_3166-2:BE,Belgium,BE,present,introduced,,,
alien-birds-checklist:taxon:b4123ef82c9b850b7f4e866d56e67b25,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,1953/2019,,
alien-birds-checklist:taxon:5456f19d84bd910b7d59cdcd9b241a48,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,1957/2019,,
alien-birds-checklist:taxon:dc48121f8daec9d575922d0bc843d2ec,ISO_3166-2:BE-VLG,Flanders,BE,present,introduced,1984/2019,,
