language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,nomenclaturalCode
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:01618c26be3a3de6bc68f52e85f835f7,"Lamprotornis purpureus (Statius Muller, 1776)",Animalia,Chordata,Aves,Passeriformes,Sturnidae,Lamprotornis,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:02a68ca9782b6059cba1de5b0982e3be,"Chen canagica (Sevastianov, 1802)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Chen,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:02b9a1f07eb0261a093c544b7bde82c7,"Neochmia ruficauda (Gould, 1837)",Animalia,Chordata,Aves,Passeriformes,Estrildidae,Neochmia,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:032ebf7daaca04554b301519defa9e6e,"Pteronetta hartlaubii (Cassin, 1860)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Pteronetta,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:0355544c8efb0e8215798995f9a95eb4,"Platycercus adscitus (Latham, 1790)",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Platycercus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:06c841aebefcabf51b72de806a635894,"Anthropoides virgo (Linnaeus, 1758)",Animalia,Chordata,Aves,Gruiformes,Gruidae,Anthropoides,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:09fe61d7893e5ee72e490877a076319c,"Nandayus nenday (Vieillot, 1823)",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Nandayus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:0a8ccd288a70af2118313f3a6a5cd0b7,"Agapornis canus (Gmelin, 1788)",Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Agapornis,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:0f05a45a4d177725103e393705b0f8c8,"Eudocimus albus (Linnaeus, 1758)",Animalia,Chordata,Aves,Pelecaniformes,Threskiornithidae,Eudocimus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:0fa77bcb7efe2d7f528e7a6fa6dfafaa,"Ploceus jacksoni Shelley, 1888",Animalia,Chordata,Aves,Passeriformes,Ploceidae,Ploceus,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:0fbec03d52ed1658cc4540bbab7b3c57,"Dendrocygna autumnalis Linnaeus, 1758",Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:0fbf2767f778127ab0293c164156f148,"Phalacrocorax auritus (Lesson, 1831)",Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:114c7e74dfaca813b5cf703766ba80bb,"Cereopsis novaehollandiae Latham, 1802",Animalia,Chordata,Aves,Anseriformes,Anatidae,Cereopsis,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:13eee1331f9710bb25a636bf365fe5a4,"Anas cyanoptera Vieillot, 1816",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:14f0ef59e13a77a68895e3e1fbea46fa,"Dendrocygna bicolor (Vieillot, 1816)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:153becc9a3510c595bad8be049a71d47,"Balearica regulorum (E.T.Bennett, 1834)",Animalia,Chordata,Aves,Gruiformes,Gruidae,Balearica,species,ICZN
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,https://doi.org/10.15468/wr3gis,INBO,Checklist of alien birds of Belgium,alien-birds-checklist:taxon:16a0aa16b23173b580eb4c25a1479284,"Coturnix japonica Temminck & Schlegel, 1849",Animalia,Chordata,Aves,Galliformes,Phasianidae,Coturnix,species,ICZN
