taxonID hash,scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,establishment means,degree of establishment,[OLD] introduction pathway [WILL BE DELETED],introduction pathway 1,introduction pathway 2,introduction pathway 3,date first observation,date last observation,source,occurrence remarks,native range,realm,terrestrial,marine,freshwater,host,abundance,threat status,date added,added by,verified by,source original
6ef305724bf67b37c9fd9ac71f383132,"Aquila rapax (Temminck, 1828)",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,species,ICZN,,BE,present,introduced,casual,pet | publicGardenZooAquaria,pet,publicGardenZooAquaria,,1997,2017,,"15 occurrences in GBIF, 1997, http://waarnemingen.be ; occurrences in 1997 and 2017 on http://observations.be; VU in IUCN red list",Africa | Southern Asia,terrestrial,TRUE,FALSE,FALSE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
3f5d388b1d6e0bb2e4d1352450e494bf,"Buteo auguralis Salvadori, 1865",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,species,ICZN,,BE,present,introduced,,pet | publicGardenZooAquaria,pet,publicGardenZooAquaria,,,,,,Western Africa | Eastern Africa | Middle Africa,terrestrial,TRUE,FALSE,FALSE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
21e4e021fa4e01bed8e1e723fdd42f53,"Buteo jamaicensis (Gmelin, 1788)",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,species,ICZN,,BE,present,introduced,,pet | publicGardenZooAquaria,pet,publicGardenZooAquaria,,,,,,Northern America | Central America,terrestrial,TRUE,FALSE,FALSE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
cd6c3707338fb24c14fdf508245ea744,"Haliaeetus leucocephalus (Linnaeus, 1766)",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,species,ICZN,,BE,present,introduced,casual,pet,pet,,,2013,2016,,"15 occurrences in GBIF, one in 2013, the rest in 2015 and 2016; http://waarnemingen.be",North America,terrestrial,TRUE,FALSE,FALSE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
8fb68655bc22002ae5507a3c1a637421,"Haliaeetus pelagicus (Pallas, 1811)",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,species,ICZN,,BE,present,introduced,casual,pet | publicGardenZooAquaria,pet,publicGardenZooAquaria,,2009,,,"1 occurrence in GBIF, 2009; http://waarnemingen.be ; VU in IUCN red list",Russia,terrestrial,TRUE,FALSE,FALSE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
735ec6110517c880ed39e5bf6ad92949,"Haliaeetus vocifer (Daudin, 1800)",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,species,ICZN,,BE,present,introduced,casual,pet | publicGardenZooAquaria,pet,publicGardenZooAquaria,,2009,2018,,"occurrences in 2009 and 2018, http://observations.be",Africa,terrestrial,TRUE,FALSE,FALSE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
8d75480400395815f8c9175785f15808,"Spizaetus melanoleucus (Vieillot, 1816)",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spizaetus,species,ICZN,,BE,present,introduced,,pet | publicGardenZooAquaria,pet,publicGardenZooAquaria,,2017,,,"occurrences in 2017, https://http://observations.be",South America,terrestrial,TRUE,FALSE,FALSE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
4d8682be5667247c5fea795c1595b533,"Parabuteo unicinctus (Temminck, 1824)",Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Parabuteo,species,ICZN,,BE,present,introduced,,pet | publicGardenZooAquaria,pet,publicGardenZooAquaria,,,,,,South America | Central America,terrestrial,TRUE,FALSE,FALSE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
b4123ef82c9b850b7f4e866d56e67b25,"Aix galericulata (Linnaeus, 1758)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,species,ICZN,Flanders,BE,present,introduced,,pet,pet,,,1953,2019,,,Eastern Asia,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
5456f19d84bd910b7d59cdcd9b241a48,"Aix sponsa Linnaeus, 1758",Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,species,ICZN,Flanders,BE,present,introduced,,pet,pet,,,1957,2019,,,North America,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
dc48121f8daec9d575922d0bc843d2ec,"Alopochen aegyptiaca (Linnaeus, 1766)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,species,ICZN,Flanders,BE,present,introduced,invasive,pet | farmedAnimals | publicGardenZooAquaria,pet,farmedAnimals,publicGardenZooAquaria,1984,2019,,,Africa,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
3384bbaae45d47a690b7f1ccb88d34b0,"Amazonetta brasiliensis (Gmelin, 1789)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Amazonetta,species,ICZN,,BE,present,introduced,,pet,pet,,,2001,2018,,"2 occurrences in GBIF, 2013 and 2016; http://waarnemingen.be ; occurrences between 2001 and 2018 in http://observations.be",South America,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
bfdaafd78d716cd583a309722c48d644,"Anas americana (Gmelin, 1789)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet | publicGardenZooAquaria,pet,publicGardenZooAquaria,,,,,,North America | Central America,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
e6abd6aa9c3f56317d373c36050a13a1,"Anas bahamensis Linnaeus, 1758",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,,,,,Caribbean | South America | Galapagos,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
d0cfa25e0aad16da38bc1d3c0ecb0f2d,"Anas capensis Gmelin, 1789",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,,,,,Western Africa | Eastern Africa | Southern Africa | Middle Africa,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
76bfbc043ffeaee11a265cc0a9db9e4f,"Anas castanea (Eyton, 1838)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,,,,,Australia,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
13eee1331f9710bb25a636bf365fe5a4,"Anas cyanoptera Vieillot, 1816",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,,,,,North America | Central America | South America,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
517d479d76289daba42b844edcdbcd8a,"Anas erythrorhyncha Gmelin, 1789",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,2015,,,1 occurrence in GBIF in 2015,Africa,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
d56b2b39ea27c2535d7f7ca1ca9fa99b,"Anas falcata Georgi, 1775",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,,,,NT in IUCN redlist,Eastern Asia,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
3daa3fdb19b37827fb27f5ff05e10fcc,"Anas flavirostris Vieillot, 1816",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,,,,,South America,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
4a259ec57dc8f5138b7d4f22d9f7fbd7,"Anas formosa Georgi, 1775",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,,,,,Eastern Asian Russia,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
be422a8361f38c10bdb881de824941cd,"Anas hottentota (Eyton, 1838)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,,,,,Africa,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
f1b024c67bd52355976819cfffcfb16c,"Anas luzonica Fraser, 1839",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,2014,,,2 occurrences on GBIF in 2014,Philippines,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
9c55a40bb74da39e6b167392b3647eab,"Anas poecilorhyncha J.R.Forster, 1781",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,,,,,Southern Asia | Southeastern Asia,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
37f677bae6c12d26bc9bd1a8ea759ce9,"Anas puna Tschudi, 1844",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,2012,,,2 occurrences in GBIF in 2012,South America,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
22f2001e6caa049f99c4cb04843c38e1,"Anas rhynchotis Latham, 1802",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,,,,,Australia | New Zealand,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
a27388766cce12a5b87ded06eac43a22,"Anas sibilatrix Poeppig, 1829",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,,,,,South America,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
df642de66eb014dee2b2ecbf99f84f80,"Anas superciliosa Gmelin, 1789",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,2013,,,1 occurrence in GBIF in 2013,Australia | New Zealand | Southeastern Asia,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
9b44d39cc68ff9bf9a7d9b739948ced1,"Anas undulata C.F.Dubois, 1839",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,2005,,,"on GBIF occurrences since 2005 (source Waarnemingen.be - Non-native animal occurrencesurrences in Flanders and the Brussels Capital Region, Belgium)",Africa,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,gbif/waarnemingen.be dataset
745666a4ec75f9ba6a1d38a6571dfb58,"Anas versicolor Vieillot, 1816",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,,BE,present,introduced,,pet,pet,,,,,,,South America,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
26eea5e58304ef3134e04beb74410ac0,"Anas laysanensis Rothschild, 1892",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,Wallonia,BE,present,introduced,,pet,pet,,,2012,,,"1 occurrence in 2012, http://observations.be; CR in IUCN red list",Hawaiian Islands,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,http://observations.be Natagora
2690e087f458f338f510946759bc3a25,"Anas gibberifrons S.Muller, 1842",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,species,ICZN,Flanders,BE,present,introduced,casual,pet,pet,,,2011,,,"1 occurrencesurrence in 2011, http://observations.be; NT in IUCN red list",Southeastern Asia,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,observations.be Natagora
cc067d1e4dd95db3f85d730517b3120e,"Anser canagicus (Sevastianov, 1802)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,species,ICZN,,BE,present,introduced,,pet | farmedAnimals,pet,farmedAnimals,,2005,2019,,records from 2005 to 2019 on observation.be,Russia,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,observations.be Natagora
80edb737a7f8401dc1016020af8123b0,"Anser cygnoides (Linnaeus, 1758)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,species,ICZN,,BE,present,introduced,,pet | farmedAnimals,pet,farmedAnimals,,,,,VU in IUCN red list,Eastern Asia,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
c8553f84cee710f05bb40a6ab0395226,"Anser indicus (Latham, 1790)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,species,ICZN,Flanders,BE,present,introduced,,pet | farmedAnimals,pet,farmedAnimals,,1966,2019,,,Central Asia | Southern Asia | Eastern Asia,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
b31fa2d38ea9bf5d7e0fa7edd4acc163,"Malacorhynchus membranaceus (Latham, 1802)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Malacorhynchus,species,ICZN,Wallonia,BE,present,introduced,,pet,pet,,,2016,,,1 record on http://observations.be,Australia,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,observations.be Natagora
793c837c634965e3b2a039139c3f4c8d,"Branta canadensis (Linnaeus, 1758)",Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,species,ICZN,Flanders,BE,present,introduced,invasive,pet | farmedAnimals | hunting,pet,farmedAnimals,hunting,1950ies,2019,"Beck O., Anselin A. & Kuijken E. 2002. Beheer van verwilderde watervogels in Vlaanderen. Instituut voor Natuurbehoud, Brussel. 146 pp.",,North America,freshwater,FALSE,FALSE,TRUE,,,,22/02/2019,Cristina Preda & Tim Adriaens,,unified
