scientific name,kingdom,class,order,family,genus,specificEpithet,infraspecificEpithet,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by
"Numida meleagris (Linnaeus, 1758)",Animalia,Aves,Galliformes,Numididae,Numida,meleagris,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Syrmaticus reevesii (J.E.Gray, 1829)",Animalia,Aves,Galliformes,Phasianidae,Syrmaticus,reevesii,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
Phasianus colchicus,Animalia,Aves,Galliformes,Phasianidae,Phasianus,colchicus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Perdix perdix (Linnaeus, 1758)",Animalia,Aves,Galliformes,Phasianidae,Perdix,perdix,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Alectoris rufa (Linnaeus, 1758)",Animalia,Aves,Galliformes,Phasianidae,Alectoris,rufa,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Alectoris graeca (Meisner, 1804)",Animalia,Aves,Galliformes,Phasianidae,Alectoris,graeca,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Coturnix japonica Temminck & Schlegel, 1849",Animalia,Aves,Galliformes,Phasianidae,Coturnix,japonica,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Porphyrio porphyrio (Linnaeus, 1758)",Animalia,Aves,Gruiformes,Rallidae,Porphyrio,porphyrio,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Anthropoides virgo (Linnaeus, 1758)",Animalia,Aves,Gruiformes,Gruidae,Anthropoides,virgo,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Grus vipio Pallas, 1811",Animalia,Aves,Gruiformes,Gruidae,Grus,vipio,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Grus japonensis (Statius Muller, 1776)",Animalia,Aves,Gruiformes,Gruidae,Grus,japonensis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Coracias abyssinicus Hermann, 1783",Animalia,Aves,Coraciiformes,Coraciidae,Coracias,abyssinicus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Dacelo novaeguineae (Hermann, 1783)",Animalia,Aves,Coraciiformes,Alcedinidae,Dacelo,novaeguineae,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Ceryle rudis (Linnaeus, 1758)",Animalia,Aves,Coraciiformes,Alcedinidae,Ceryle,rudis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Bucorvus leadbeateri (Vigors, 1825)",Animalia,Aves,Bucerotiformes,Bucorvidae,Bucorvus,leadbeateri,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Dryocopus martius (Linnaeus, 1758)",Animalia,Aves,Piciformes,Picidae,Dryocopus,martius,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Psittacula krameri (Scopoli, 1769)",Animalia,Aves,Psittaciformes,Psittacidae,Psittacula,krameri,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Platycercus elegans (Gmelin, 1788)",Animalia,Aves,Psittaciformes,Psittacidae,Platycercus,elegans,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Platycercus eximius (Shaw, 1792)",Animalia,Aves,Psittaciformes,Psittacidae,Platycercus,eximius,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Myiopsitta monachus (Boddaert, 1783)",Animalia,Aves,Psittaciformes,Psittacidae,Myiopsitta,monachus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Agapornis roseicollis (Stanley, 1814)",Animalia,Aves,Psittaciformes,Psittacidae,Agapornis,roseicollis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Agapornis canus (Gmelin, 1788)",Animalia,Aves,Psittaciformes,Psittacidae,Agapornis,canus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Amazona ochrocephala (Gmelin, 1788)",Animalia,Aves,Psittaciformes,Psittacidae,Amazona,ochrocephala,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Amazona amazonica (Linnaeus, 1766)",Animalia,Aves,Psittaciformes,Psittacidae,Amazona,amazonica,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Melopsittacus undulatus (Shaw, 1805)",Animalia,Aves,Psittaciformes,Psittacidae,Melopsittacus,undulatus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Poicephalus senegalus (Linnaeus, 1766)",Animalia,Aves,Psittaciformes,Psittacidae,Poicephalus,senegalus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Nymphicus hollandicus (Kerr, 1792)",Animalia,Aves,Psittaciformes,Psittacidae,Nymphicus,hollandicus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Psephotus haematonotus (Gould, 1838)",Animalia,Aves,Psittaciformes,Psittacidae,Psephotus,haematonotus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Psittacus erithacus Linnaeus, 1758",Animalia,Aves,Psittaciformes,Psittacidae,Psittacus,erithacus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Pelecanus rufescens Gmelin, 1789",Animalia,Aves,Pelecaniformes,Pelecanidae,Pelecanus,rufescens,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Gyps fulvus (Hablizl, 1783)",Animalia,Aves,Accipitriformes,Accipitridae,Gyps,fulvus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Parabuteo unicinctus (Temminck, 1824)",Animalia,Aves,Accipitriformes,Accipitridae,Parabuteo,unicinctus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Buteo jamaicensis (Gmelin, 1788)",Animalia,Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Buteo auguralis Salvadori, 1865",Animalia,Aves,Accipitriformes,Accipitridae,Buteo,auguralis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Pluvianus aegyptius (Linnaeus, 1758)",Animalia,Aves,Charadriiformes,Pluvianidae,Pluvianus,aegyptius,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Threskiornis aethiopicus (Latham, 1790)",Animalia,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,aethiopicus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Threskiornis spinicollis (Jameson, 1835)",Animalia,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,spinicollis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Plegadis ridgwayi (Allen, 1876)",Animalia,Aves,Pelecaniformes,Threskiornithidae,Plegadis,ridgwayi,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Plegadis falcinellus (Linnaeus, 1766)",Animalia,Aves,Pelecaniformes,Threskiornithidae,Plegadis,falcinellus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Platalea alba Scopoli, 1786",Animalia,Aves,Pelecaniformes,Threskiornithidae,Platalea,alba,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Bubulcus ibis (Linnaeus, 1758)",Animalia,Aves,Pelecaniformes,Ardeidae,Bubulcus,ibis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Nycticorax nycticorax (Linnaeus, 1758)",Animalia,Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
